Name;URL;Author;Price;Number of Ratings;Average Rating
General Knowledge 2019;https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1;Manohar Pandey;₹25.00;49;4.2 out of 5 stars
Concepts of Physics 2;https://www.amazon.in/Concepts-Physics-2-H-C-Verma/dp/8177092324?_encoding=UTF8&psc=1;H.C. Verma;₹324.00;436;4.6 out of 5 stars
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World);https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1;Robert T Kiyosaki;₹199.00;2,525;4.5 out of 5 stars
A Brief History of Modern India;https://www.amazon.in/Brief-History-Modern-India/dp/8179306542?_encoding=UTF8&psc=1;Rajiv Ahir;₹260.00;143;4.2 out of 5 stars
RRB Group D Solved Papers and Practice Sets 2018;https://www.amazon.in/Group-Solved-Papers-Practice-Sets/dp/9312148559?_encoding=UTF8&psc=1;Arihant Experts;₹120.00;16;4.5 out of 5 stars
Will You Still Love Me?;https://www.amazon.in/Will-You-Still-Love-Me/dp/0143429361?_encoding=UTF8&psc=1;RAVINDER SINGH;₹109.00;81;4.7 out of 5 stars
Indian Art and Culture;https://www.amazon.in/Indian-Art-Culture-Nitin-Singhania/dp/9387067548?_encoding=UTF8&psc=1;Nitin Singhania;₹320.00;133;4.5 out of 5 stars
Think and Grow Rich;https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1;Napoleon Hill;₹104.00;2,425;4.5 out of 5 stars
Mathematics for Class 9 by R D Sharma (2018-19 Session);https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647912?_encoding=UTF8&psc=1;R.D. Sharma;₹355.00;13;4.5 out of 5 stars
A Century is not Enough: My Roller-coaster Ride to Success;https://www.amazon.in/Century-not-Enough-Roller-coaster-Success/dp/9386228564?_encoding=UTF8&psc=1;Sourav Ganguly;₹394.00;119;4.6 out of 5 stars
Objective NCERT at your Fingertips - Biology;https://www.amazon.in/Objective-NCERT-your-Fingertips-Biology/dp/938656193X?_encoding=UTF8&psc=1;MTG Editorial Board;₹517.00;182;4.7 out of 5 stars
The Immortals of Meluha (Shiva Trilogy);https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745?_encoding=UTF8&psc=1;Amish;₹156.00;2,185;4.6 out of 5 stars
RRB Group D Guide Hindi 2018;https://www.amazon.in/RRB-Group-Guide-Hindi-2018/dp/9312147897?_encoding=UTF8&psc=1;Arihant Experts;₹140.00;18;3.8 out of 5 stars
12 Years' Solved Papers CBSE AIPMT & NEET;https://www.amazon.in/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1;Arihant Experts;₹267.00;28;4.0 out of 5 stars
The Intelligent Investor (English) Paperback – 2013;https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685?_encoding=UTF8&psc=1;Benjamin Graham;₹400.00;720;4.3 out of 5 stars
